Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,EMA_7,EMA_21,Ticker,Company,negative,neutral,positive
2021-01-04,110.54833221435548,125.87000274658205,127.86000061035156,124.77999877929688,127.5,16819900,,110.54833221435548,110.54833221435548,JPM,JPMorgan Chase & Co.,0.9998775720596313,8.209498628275469e-05,4.031854768982157e-05
2021-01-05,111.1498565673828,125.6500015258789,126.3000030517578,123.7699966430664,124.98999786376952,13731200,0.0054412793117581,110.6987133026123,110.60301624644886,JPM,JPMorgan Chase & Co.,0.9998696446418762,1.959619839908555e-05,0.0001106089330278337
2021-01-06,116.3689956665039,131.5500030517578,132.77000427246094,127.87999725341795,129.8800048828125,24909100,0.0469558779498475,112.1162838935852,111.1271961937266,JPM,JPMorgan Chase & Co.,0.6666392683982849,0.3333340883255005,2.661835605977103e-05
2021-01-07,120.19044494628906,135.8699951171875,138.19000244140625,134.9199981689453,135.69000244140625,21940400,0.0328390672953546,114.13482415676116,111.951127898505,JPM,JPMorgan Chase & Co.,0.5938474535942078,0.4056525230407715,0.000500062364153564
2021-01-08,120.3231430053711,136.02000427246094,136.35000610351562,134.1199951171875,135.97000122070312,12035100,0.0011040649624129,115.68190386891364,112.71222018094736,JPM,JPMorgan Chase & Co.,0.9994715452194214,0.0003542184131219983,0.000174237196915783
2021-01-11,122.11888122558594,138.0500030517578,138.1999969482422,134.11000061035156,134.5800018310547,15937900,0.0149242961525255,117.29114820808172,113.5673711850054,JPM,JPMorgan Chase & Co.,0.9907792806625366,8.070199328358285e-06,0.009212530218064785
2021-01-12,124.03848266601562,140.22000122070312,141.66000366210938,138.8300018310547,139.44000244140625,18033500,0.0157191207548297,118.9779818225652,114.5192904105518,JPM,JPMorgan Chase & Co.,0.6666694283485413,0.0001993345213122666,0.33313119411468506
2021-01-13,124.1534652709961,140.35000610351562,140.7899932861328,138.10000610351562,138.58999633789062,14816800,0.0009269913861336,120.27185268467292,115.395124488774,JPM,JPMorgan Chase & Co.,0.0,1.0,0.0
2021-01-14,124.87882995605467,141.1699981689453,142.75,140.0,140.49000549316406,18565600,0.0058424844081097,121.42359700251836,116.25727953125404,JPM,JPMorgan Chase & Co.,0.9810787439346313,0.018899457529187202,2.181686977564823e-05
2021-01-15,122.64080810546876,138.63999938964844,141.64999389648438,137.00999450683594,137.42999267578125,27881000,-0.0179215472420225,121.72789977825596,116.8376003107281,JPM,JPMorgan Chase & Co.,0.19990019500255585,0.7996096611022949,0.0004900830681435764
2021-01-19,122.11004638671876,138.0399932861328,140.6999969482422,137.82000732421875,139.86000061035156,19843800,-0.0043277741475216,121.82343643037166,117.3169135903636,JPM,JPMorgan Chase & Co.,0.9999783039093018,5.588317890214967e-06,1.6105834220070392e-05
2021-01-20,120.2789077758789,135.97000122070312,138.1699981689453,135.44000244140625,137.82000732421875,16028800,-0.0149958063650281,121.43730426674848,117.5861857890468,JPM,JPMorgan Chase & Co.,0.0,1.0,0.0
2021-01-21,119.2704849243164,134.8300018310547,136.16000366210938,134.32000732421875,135.69000244140625,13411700,-0.0083840373196731,120.89559943114044,117.73930389225312,JPM,JPMorgan Chase & Co.,0.7939417958259583,0.00017671917157713324,0.20588147640228271
2021-01-22,118.35049438476562,133.7899932861328,134.39999389648438,132.1999969482422,132.69000244140625,12933200,-0.0077134803311529,120.25932316954676,117.79486666429972,JPM,JPMorgan Chase & Co.,0.9999860525131226,7.084226581355324e-06,6.777840098948218e-06
2021-01-25,116.8731918334961,132.1199951171875,133.1699981689453,130.05999755859375,132.13999938964844,14212800,-0.0124824366720996,119.41279033553408,117.71107804331756,JPM,JPMorgan Chase & Co.,0.666628897190094,0.3333578109741211,1.3208580639911816e-05
2021-01-26,116.3955307006836,131.5800018310547,133.1699981689453,131.33999633789062,132.75,11307800,-0.0040870034035949,118.65847542682148,117.59148283035084,JPM,JPMorgan Chase & Co.,0.7314392924308777,3.3750198781490326e-05,0.26852694153785706
2021-01-27,113.10480499267578,127.86000061035156,129.85000610351562,127.3499984741211,129.58999633789062,17603900,-0.028271924945899,117.27005781828504,117.18360302692582,JPM,JPMorgan Chase & Co.,0.9999029636383057,2.272801793878898e-05,7.434360304614529e-05
2021-01-28,115.09518432617188,130.11000061035156,132.1699981689453,128.99000549316406,129.89999389648438,13761800,0.0175976549681067,116.72633944525674,116.99374678140272,JPM,JPMorgan Chase & Co.,0.9999990463256836,1.9697324660228333e-07,7.378474720098893e-07
2021-01-29,113.82134246826172,128.6699981689453,131.72000122070312,128.19000244140625,131.19000244140625,14808100,-0.0110677250778814,116.000090201008,116.705346389299,JPM,JPMorgan Chase & Co.,0.9999942779541016,2.7452563244878547e-07,5.494651759363478e-06
2021-02-01,114.6617202758789,129.6199951171875,130.07000732421875,128.47999572753906,129.39999389648438,11080700,0.0073833060601224,115.66549771972572,116.51956219716988,JPM,JPMorgan Chase & Co.,0.13766644895076752,0.5382959842681885,0.3240375816822052
2021-02-02,118.19125366210938,133.61000061035156,134.38999938964844,131.22000122070312,131.94000244140625,12253600,0.0307821422680414,116.29693670532164,116.67153414852802,JPM,JPMorgan Chase & Co.,0.9996157288551331,0.00024941624724306166,0.00013486258103512228
2021-02-03,119.54467010498048,135.13999938964844,135.75999450683594,133.50999450683594,133.64999389648438,10600800,0.0114510710474422,117.10887005523634,116.93272832638732,JPM,JPMorgan Chase & Co.,0.9999748468399048,3.3712474305502838e-06,2.1802279661642388e-05
2021-02-04,122.29581451416016,138.25,138.66000366210938,135.47000122070312,135.47000122070312,12419500,0.0230135262974393,118.40560616996729,117.42028161618488,JPM,JPMorgan Chase & Co.,0.9979457855224609,2.684356877580285e-05,0.002027334878221154
2021-02-05,122.05695343017578,137.97999572753906,139.49000549316406,137.3800048828125,139.38999938964844,10051300,-0.0019531419364864,119.3184429850194,117.84179723563858,JPM,JPMorgan Chase & Co.,0.8311452865600586,0.0001441676140530035,0.1687105894088745
2021-02-08,123.96769714355467,140.13999938964844,140.3000030517578,138.17999267578125,138.1999969482422,10136400,0.0156545256921554,120.48075652465324,118.39869722726732,JPM,JPMorgan Chase & Co.,0.2728751003742218,0.7270176410675049,0.00010724313324317336
2021-02-09,123.47229766845705,139.5800018310547,139.97999572753906,138.5399932861328,139.42999267578125,8614800,-0.0039961980944437,121.2286418106042,118.85993363101184,JPM,JPMorgan Chase & Co.,0.9998053908348083,0.00015790860925335437,3.668723002192564e-05
2021-02-10,123.5430908203125,139.66000366210938,140.8699951171875,139.0399932861328,140.0,10323200,0.0005733525105815,121.80725406303128,119.28567519367552,JPM,JPMorgan Chase & Co.,0.9997243881225586,0.00022808976063970476,4.748368519358337e-05
2021-02-11,123.19808197021484,139.27000427246094,140.5500030517578,138.22000122070312,139.66000366210938,9201000,-0.0027926195451872,122.15496103982716,119.64134853699728,JPM,JPMorgan Chase & Co.,8.574721022114318e-08,0.9999997615814209,6.011910613779037e-08
2021-02-12,124.9495849609375,141.25,141.61000061035156,139.0,139.0500030517578,8324600,0.0142169663903217,122.85361702010474,120.1239154846282,JPM,JPMorgan Chase & Co.,0.5677721500396729,0.037377674132585526,0.39485013484954834
2021-02-16,127.9572296142578,144.64999389648438,145.32000732421875,142.39999389648438,143.5500030517578,12130600,0.0240708654955563,124.129520168643,120.83603495095818,JPM,JPMorgan Chase & Co.,0.599949836730957,0.20000450313091278,0.2000456601381302
2021-02-17,128.3552703857422,145.10000610351562,145.3800048828125,143.1199951171875,143.9499969482422,10810100,0.0031107329588513,125.1859577229178,121.5196018086658,JPM,JPMorgan Chase & Co.,0.9998593330383301,1.2066075214534067e-05,0.0001285891921725124
2021-02-18,128.78875732421875,145.58999633789062,145.7899932861328,143.39999389648438,144.0,10587800,0.0033772430004146,126.08665762324304,122.18043412826152,JPM,JPMorgan Chase & Co.,0.9995852112770081,0.0004119478107895702,2.8498457140813116e-06
2021-02-19,130.93832397460938,148.02000427246094,148.83999633789062,145.86000061035156,145.86000061035156,11969800,0.0166906389583307,127.29957421108465,122.97660593247495,JPM,JPMorgan Chase & Co.,0.7030355334281921,0.2006581574678421,0.09630627930164337
2021-02-22,132.16793823242188,149.41000366210938,150.19000244140625,146.7899932861328,146.8699951171875,11488400,0.0093907896518588,128.51666521641894,123.81218159610653,JPM,JPMorgan Chase & Co.,0.9998020529747009,4.553523467620835e-05,0.00015245303802657872
2021-02-23,133.22947692871094,150.61000061035156,152.30999755859375,149.58999633789062,151.50999450683594,16234400,0.0080317413624346,129.69486814449195,124.668299353616,JPM,JPMorgan Chase & Co.,0.8332818150520325,0.16669391095638275,2.4170667529688217e-05
2021-02-24,135.57363891601562,153.25999450683594,153.75999450683594,150.11000061035156,150.11000061035156,15061400,0.017594919993261,131.16456083737287,125.6596938592887,JPM,JPMorgan Chase & Co.,4.1575021896278486e-06,4.1747412069526035e-06,0.9999916553497314
2021-02-25,133.73367309570312,151.17999267578125,154.89999389648438,150.58999633789062,154.27000427246094,18127700,-0.0135717078557751,131.80683890195544,126.39369197169,JPM,JPMorgan Chase & Co.,3.2441307666886132e-06,0.9999967813491821,4.770968686784727e-08
