Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,EMA_7,EMA_21,Ticker,Company,Headlines
2021-01-04,159.3314971923828,159.3314971923828,163.60000610351562,157.2010040283203,163.5,88228000,,159.3314971923828,159.3314971923828,AMZN,Amazon,"Council Post : What Next For Amazon : 11 Predictions For 2021 | Make sure you have the best credit card when you shop at Amazon | The Best Amazon Deals on Marc Jacobs Handbags , Perfume , Sunglasses & More | Amazon Passes Boeing to Become Washington Largest Employer | Amazon Passes Boeing to Become Washington Largest Employer"
2021-01-05,160.92550659179688,160.92550659179688,161.16900634765625,158.2530059814453,158.30050659179688,53110000,0.010004358381754175,159.72999954223633,159.47640713778407,AMZN,Amazon,Can Amazon Continue Its Incredible Run in 2021 ?  | New Year New You Amazon sale | CNN Underscored | Amazon buys 11 aircraft to make deliveries faster | Amazon plots a course into the healthcare industry | Can Amazon Continue Its Incredible Run in 2021 ? 
2021-01-06,156.91900634765625,156.91900634765625,159.87550354003906,156.55799865722656,157.32400512695312,87896000,-0.024896614147709384,159.0272512435913,159.24391615686335,AMZN,Amazon,"Amazon launches a $2 billion housing fund to build or preserve more than 20 , 000 affordable homes | Amazon affordable housing investment to total $2 billion | Amazon housing fund : $2 billion for 20 , 000 affordable homes | Amazon Marketing Cloud Enters Advanced Beta Testing | Amazon affordable housing investment to total $2 billion"
2021-01-07,158.10800170898438,158.10800170898438,160.427001953125,157.75,157.85000610351562,70290000,0.0075771277744003385,158.79743885993958,159.14065120705615,AMZN,Amazon,Purell is back in stock right now at Amazon and it on sale | Tesla stock surge helps power Elon Musk past Jeff Bezos as richest person in the world
2021-01-08,159.13499450683594,159.13499450683594,159.53199768066406,157.11000061035156,159.0,70754000,0.006495514374673217,158.88182777166367,159.1401369615816,AMZN,Amazon,Is Amazon ( AMZN ) Stock a Buy For 2021 ? 
2021-01-11,155.7104949951172,155.7104949951172,157.81900024414062,155.5,157.40049743652344,73668000,-0.021519462280005563,158.08899457752705,158.82835132826665,AMZN,Amazon,Parler Files Antitrust Lawsuit Against Amazon Over Shutdown | Parler Files Antitrust Lawsuit Against Amazon Over Shutdown | Parler Files Antitrust Lawsuit Against Amazon Over Shutdown | Parler Files Antitrust Lawsuit Against Amazon Over Shutdown | Parler Files Antitrust Lawsuit Against Amazon Over Shutdown
2021-01-12,156.04150390625,156.04150390625,157.10699462890625,154.3000030517578,156.0,70292000,0.002125797051401035,157.57712190970778,158.57500156262876,AMZN,Amazon,Purell is back in stock right now at Amazon and it on sale starting at just $5 |   Very weak : Parler lawsuit against Amazon unlikely to succeed | Parler Files Antitrust Lawsuit Against Amazon Over Shutdown | Parler Files Antitrust Lawsuit Against Amazon Over Shutdown | KOA NewsRadio 850 AM & 94 . 1 FM | Parler Files Antitrust Lawsuit Against Amazon Over Shutdown | South Carolina Radio Network
2021-01-13,158.29449462890625,158.29449462890625,159.49749755859375,156.10400390625,156.4219970703125,66424000,0.014438406874172749,157.7564650895074,158.54950093229036,AMZN,Amazon,"Parler claims in antitrust lawsuit that Amazon said it was  definitely in this journey  with the controversial social media platform until Capitol riots | Parler claims in antitrust lawsuit that Amazon said it was  definitely in this journey  with the controversial social media platform until Capitol riots | Amazon hits back at Parler antitrust lawsuit with extensive examples of its violent content , including death threats against Democrats , GOP , tech CEOs , and BLM | Amazon Fires Back at Parler Lawsuit , Noting Violent Content | Amazon responds to Parler lawsuit , calls it  meritles and cites content advocating violence"
2021-01-14,156.37350463867188,156.37350463867188,158.89999389648438,156.0294952392578,158.37600708007812,61418000,-0.012135545173177387,157.41072497679852,158.35168308741592,AMZN,Amazon,"Will Live Sports Help Boost Amazon Stock ? | Investor Business Daily | Parler claims in antitrust lawsuit that Amazon said it was  definitely in this journey  with the controversial social media platform until Capitol riots | Parler Lawsuit Docs Show Chilling Threats Made At Amazon | Despite lawsuit , growing pressure from Trump supporters , Amazon seeks to keep right - wing app Parler - The New Indian Express | Amazon New Year , New You Deals : Best Designer and Fine Jewelry"
2021-01-15,155.21249389648438,155.21249389648438,157.12750244140625,154.7584991455078,156.1510009765625,84880000,-0.007424600125642833,156.86116720671998,158.0663022518767,AMZN,Amazon,"Amazon hit with class - action lawsuit over eBook price fixing | Amazon hit with class action antitrust lawsuit claiming it colluded with major publishers to illegally drive up ebook prices by 30 %  | Amazon hit with antitrust lawsuit alleging ebook price fixing | Amazon Hit With Class - Action , EBooks Price - Fixing Lawsuit | Amazon slapped with class - action lawsuit accusing e - commerce giant of inflation e - book prices"
2021-01-19,156.03799438476562,156.03799438476562,157.25,154.8000030517578,155.35000610351562,66102000,0.005318518294228358,156.6553740012314,157.88191062759387,AMZN,Amazon,Amazon faced with class action lawsuit alleging e - book pricing fixing
2021-01-20,163.16900634765625,163.16900634765625,163.99000549316406,158.75,159.09950256347656,106196000,0.04570048462239673,158.2837820878376,158.36255569305408,AMZN,Amazon,"Amazon Stock : Is It A Buy Now ? Here What Earnings , Charts Show | Why Amazon . com Stock Just Popped | The Motley Fool | Amazon lists militia - related nonprofits among groups that can receive Smile donations | Amazon Smile could donate to Oath Keepers and Three Percent nonprofits , if shoppers choose | Indian stock exchanges clear Future - Reliance deal in setback for Amazon"
2021-01-21,165.34950256347656,165.34950256347656,167.42750549316406,164.47850036621094,164.64999389648438,98722000,0.013363421550624865,160.05021220674735,158.9977326812743,AMZN,Amazon,Why Amazon . com Stock Just Popped | The Motley Fool
2021-01-22,164.6114959716797,164.6114959716797,166.0955047607422,164.1580047607422,165.2154998779297,56438000,-0.00446331304512726,161.19053314798043,159.50807479858386,AMZN,Amazon,"Seventh Amazon Fresh supermarket set to open its doors | Today best deals : NIOSH N95 masks , AirPods blowout , $60 Instant Pot , $12 Amazon smart shelf , $9 wireless charger , more | The Best Amazon Valentine Day Deals on Calvin Klein Underwear | Best Amazon Valentine Day Deals on Rebecca Minkoff Handbag Styles | Amazon Valentine Day Gifts : Best Deals on Designer Sunglasses -- Gucci , Coach , Ray - Ban , Oakley & More"
2021-01-25,164.6999969482422,164.6999969482422,168.1945037841797,162.15750122070312,166.4250030517578,74996000,0.0005376354551673845,162.06789909804587,159.98006772128008,AMZN,Amazon,"PS5 restock available at Amazon united kingdom , but issues adding PlayStation 5 to basket | Gaming | Entertainment"
2021-01-26,166.30650329589844,166.30650329589844,166.89999389648438,164.14349365234375,164.8179931640625,59104000,0.009754137082109926,163.127550147509,160.55519822806355,AMZN,Amazon,"Amazon is adding 3 , 000 jobs in Boston , including in AI , finance , and HR , as it continues its pandemic hiring spree | Amazon to add 3 , 000 jobs in Boston including HR , finance , AI roles | Amazon is adding 3 , 000 jobs in Boston , including in AI , finance , and HR , as it continues its pandemic hiring spree | Amazon has a new iOS app icon design | Best Amazon Valentine Day Deals on Luggage from Tumi , Samsonite , TravelPro and More"
2021-01-27,161.62899780273438,161.62899780273438,167.3260040283203,160.35400390625,167.07449340820312,93204000,-0.02812581228312927,162.75291206131533,160.65281637121544,AMZN,Amazon,"A Look Inside an Amazon Warehouse – Where Profits Are Placed Ahead of Workers | UPDATE 1 - Amazon set to launch in Poland , shares in local Allegro fall | UPDATE 1 - Amazon set to launch in Poland , shares in local Allegro fall | UPDATE 1 - Amazon set to launch in Poland , shares in local Allegro fall | Reliance Industries Shares : Reliance Industries Falls After Amazon Tries To Block Future Asset Sale"
2021-01-28,161.88099670410156,161.88099670410156,165.08399963378906,161.4344940185547,161.7519989013672,62984000,0.0015591193708615059,162.5349332220119,160.76446912875053,AMZN,Amazon,Amazon Stock Can Afford To Have Some Failures
