Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,EMA_7,EMA_21,Ticker,Company,Headlines,Headline_List,negative,neutral,positive
2021-05-10,138.1430511,141.1100006,142.2400055,139.3600006,139.4900055,80861100,0.014158587,139.1127691,142.0230892,AAPL,Apple Inc,Apple Inc . stock underperforms Tuesday when compared to competitors despite daily gains | Apple Stock : iPhone Super Cycle Is Alive And Well,"['Apple Inc . stock underperforms Tuesday when compared to competitors despite daily gains', 'Apple Stock : iPhone Super Cycle Is Alive And Well']",0.1113947406411171,0.8515465259552002,0.03705873340368271
2021-05-11,148.3153381,151.2799988,152.1999969,150.0599976,151.8899994,65463900,0.00358213,147.394673,145.4639805,AAPL,Apple Inc,"Apple Inc . stock rises Friday , outperforms market |   Most Overpriced Tech Stock : Is Dan Niles Right About AAPL ? ","['Apple Inc . stock rises Friday , outperforms market', 'Most Overpriced Tech Stock : Is Dan Niles Right About AAPL ?']",0.49944472312927246,0.5000025033950806,0.0005528395995497704
2021-05-13,122.1593628,124.9700012,126.1500015,124.2600021,124.5800018,105861300,0.017919747,123.7223948,125.8935159,AAPL,Apple Inc,"Apple Inc . stock rises Thursday , outperforms market | Netflix , Inc . ( NASDAQ : NFLX ), Apple Inc . ( NASDAQ : AAPL ) -  Trading Nation  Traders Weigh In On FAANG Stocks | Apple Inc . ( NASDAQ : AAPL ), Amazon . com , Inc . ( NASDAQ : AMZN ) - Apple To See Revenue Growth Ahead Of Street Expectations Through 2025 , Munster Estimates : What You Need To Know | Dow rallies 487 points on gains for Boeing , Apple Inc . stocks","['Apple Inc . stock rises Thursday , outperforms market', 'Netflix , Inc . ( NASDAQ : NFLX ), Apple Inc . ( NASDAQ : AAPL ) -  Trading Nation  Traders Weigh In On FAANG Stocks', 'Apple Inc . ( NASDAQ : AAPL ), Amazon . com , Inc . ( NASDAQ : AMZN ) - Apple To See Revenue Growth Ahead Of Street Expectations Through 2025 , Munster Estimates : What You Need To Know', 'Dow rallies 487 points on gains for Boeing , Apple Inc . stocks']",0.2531803548336029,0.7460535764694214,0.00076603441266343
2021-05-14,124.5835876,127.4499969,127.8899994,125.8499985,126.25,81918000,0.019844773,123.937693,125.7744315,AAPL,Apple Inc,"Apple Inc . stock rises Friday , still underperforms market | Todd Gordon picks Apple Inc as the strongest of FAANG stocks right now .  | Apple cutting the contract for the iPhone 12 mini has shown to have crushed Pegatron Profit in their latest Financial Report | Pre - Movers Stocks In Imitation : Apple Inc . ( NASDAQ : AAPL ), General Motors Company ( NYSE : GM ) ","['Apple Inc . stock rises Friday , still underperforms market', 'Todd Gordon picks Apple Inc as the strongest of FAANG stocks right now .', 'Apple cutting the contract for the iPhone 12 mini has shown to have crushed Pegatron Profit in their latest Financial Report', 'Pre - Movers Stocks In Imitation : Apple Inc . ( NASDAQ : AAPL ), General Motors Company ( NYSE : GM )']",0.24998031556606293,0.7384815216064453,0.011538153514266014
2021-05-17,123.4301224,126.2699966,126.9300003,125.1699982,126.8199997,74244600,-0.009258565,123.8108003,125.5613125,AAPL,Apple Inc,"Amazon . com , Inc . ( NASDAQ : AMZN ), Apple Inc . ( NASDAQ : AAPL ) - Amazon - Backed Tado Raises $46M In Fundraiser Before IPO : FT | Apple Inc . ( NASDAQ : AAPL ), Amazon . com , Inc . ( NASDAQ : AMZN ) - Amazon , Apple To Make HD , Lossless Audio Streaming Available At No Extra Cost For Subscribers","['Amazon . com , Inc . ( NASDAQ : AMZN ), Apple Inc . ( NASDAQ : AAPL ) - Amazon - Backed Tado Raises $46M In Fundraiser Before IPO : FT', 'Apple Inc . ( NASDAQ : AAPL ), Amazon . com , Inc . ( NASDAQ : AMZN ) - Amazon , Apple To Make HD , Lossless Audio Streaming Available At No Extra Cost For Subscribers']",0.9999158382415771,7.765541522530839e-05,6.515168479381828e-06
2021-05-18,122.0420685,124.8499985,126.9899979,124.7799988,126.5599976,63342900,-0.011245666,123.3686174,125.2413812,AAPL,Apple Inc,"Apple Inc . stock falls Monday , underperforms market | Apple Inc . stock falls Tuesday , underperforms market | AT & T Inc . ( NYSE : T ), Apple Inc . ( NASDAQ : AAPL ) - Opinion : What Will Be The Next Big Streaming Industry Acquisition ? ","['Apple Inc . stock falls Monday , underperforms market', 'Apple Inc . stock falls Tuesday , underperforms market', 'AT & T Inc . ( NYSE : T ), Apple Inc . ( NASDAQ : AAPL ) - Opinion : What Will Be The Next Big Streaming Industry Acquisition ?']",0.8348976969718933,0.16491740942001343,0.0001849005202529952
2021-05-19,121.8856812,124.6900024,124.9199982,122.8600006,123.1600037,92612000,-0.001281421,122.9978833,124.9363176,AAPL,Apple Inc,"Apple Inc . stock underperforms Wednesday when compared to competitors | AAPL Stock Down 1 %, Apple Prepares to Pour More Machine Power in Its Upcoming MacBook Air and MacBook Pro | Has Apple stock reached its peak ? Cathie Wood isnt excited about AAPL , CNBC Faber questions  what is the plan  ","['Apple Inc . stock underperforms Wednesday when compared to competitors', 'AAPL Stock Down 1 %, Apple Prepares to Pour More Machine Power in Its Upcoming MacBook Air and MacBook Pro', 'Has Apple stock reached its peak ? Cathie Wood isnt excited about AAPL , CNBC Faber questions  what is the plan']",0.5297103524208069,0.16472940146923065,0.30556023120880127
2021-05-20,124.4467239,127.3099976,127.7200012,125.0999985,125.2300034,76857100,0.021011843,123.3600935,124.8918091,AAPL,Apple Inc,"Apple Inc . stock rises Thursday , outperforms market | Dow up 264 points on gains in shares of Apple Inc ., Microsoft","['Apple Inc . stock rises Thursday , outperforms market', 'Dow up 264 points on gains in shares of Apple Inc ., Microsoft']",1.2128763273722143e-06,0.9999985098838806,3.091012672484794e-07
2021-05-21,122.6090317,125.4300003,128.0,125.2099991,127.8199997,79295400,-0.014766899,123.172328,124.6842839,AAPL,Apple Inc,"NVIDIA Corporation ( NASDAQ : NVDA ), Apple Inc . ( NASDAQ : AAPL ) - PreMarket Prep Stock Of The Day : Nvidia | Apple Inc . stock underperforms Friday when compared to competitors | Apple iOS 11 . 2 update : Bug fixes for iPhones , iPad , iPod touch ; fast charging possible on iPhone 8 , iPhone X | Apple CEO to take the stand in Epic lawsuit that says App Store is an unfair monopoly | Apple Inc . ( NASDAQ : AAPL ) - Apple Chief to Testify In Epic Game Antitrust Lawsuit : FT","['NVIDIA Corporation ( NASDAQ : NVDA ), Apple Inc . ( NASDAQ : AAPL ) - PreMarket Prep Stock Of The Day : Nvidia', 'Apple Inc . stock underperforms Friday when compared to competitors', 'Apple iOS 11 . 2 update : Bug fixes for iPhones , iPad , iPod touch ; fast charging possible on iPhone 8 , iPhone X', 'Apple CEO to take the stand in Epic lawsuit that says App Store is an unfair monopoly', 'Apple Inc . ( NASDAQ : AAPL ) - Apple Chief to Testify In Epic Game Antitrust Lawsuit : FT']",0.8269839286804199,0.005180207546800375,0.16783587634563446
2021-05-24,124.2414627,127.0999985,127.9400024,125.9400024,126.0100021,63092900,0.013314117,123.4396117,124.6440274,AAPL,Apple Inc,"Apple Inc . stock rises Monday , still underperforms market | Microsoft Corporation ( NASDAQ : MSFT ), Apple Inc . ( NASDAQ : AAPL ) - Bill Gate Trust Offloads Apple Stake And Buys This Stock Instead","['Apple Inc . stock rises Monday , still underperforms market', 'Microsoft Corporation ( NASDAQ : MSFT ), Apple Inc . ( NASDAQ : AAPL ) - Bill Gate Trust Offloads Apple Stake And Buys This Stock Instead']",0.5000362396240234,0.4880528450012207,0.011910976842045784
2021-05-25,124.0459747,126.9000015,128.3200073,126.3199997,127.8199997,72009500,-0.001573452,123.5912025,124.589659,AAPL,Apple Inc,Apple Inc . stock underperforms Tuesday when compared to competitors,['Apple Inc . stock underperforms Tuesday when compared to competitors'],0.8788829445838928,0.08987825363874435,0.031238865107297897
2021-05-26,123.9970932,126.8499985,127.3899994,126.4199982,126.9599991,56575900,-0.00039406,123.6926751,124.5357894,AAPL,Apple Inc,"Apple Inc . stock outperforms competitors despite losses on the day | PowerShares QQQ Trust , Series 1 ( NASDAQ : QQQ ), Apple Inc . ( NASDAQ : AAPL ) - Why Did QQQ Options Traders Purchase Almost $3M Of Puts ?  | Lawsuit claims Apple monopolizes heart - rate technology for Apple Watch | Lawsuit claims Apple monopolizes heart - rate technology for Apple Watch","['Apple Inc . stock outperforms competitors despite losses on the day', 'PowerShares QQQ Trust , Series 1 ( NASDAQ : QQQ ), Apple Inc . ( NASDAQ : AAPL ) - Why Did QQQ Options Traders Purchase Almost $3M Of Puts ?', 'Lawsuit claims Apple monopolizes heart - rate technology for Apple Watch', 'Lawsuit claims Apple monopolizes heart - rate technology for Apple Watch']",0.4765634834766388,0.3354283273220062,0.18800823390483856
2021-05-27,122.4624023,125.2799988,127.6399994,125.0800018,126.4400024,94625600,-0.012376829,123.3851069,124.3472996,AAPL,Apple Inc,"Apple Inc . stock falls Thursday , underperforms market | Lawsuit claims Apple monopolizes heart - rate technology for Apple Watch | Apple Inc . ( NASDAQ : AAPL ) - Apple Stifling Rivals In Heart - Rate Analysis On WatchOS Devices , Alleges Lawsuit | Lawsuit Claims Apple Monopolizes Heart - Rate Technology for Apple Watch","['Apple Inc . stock falls Thursday , underperforms market', 'Lawsuit claims Apple monopolizes heart - rate technology for Apple Watch', 'Apple Inc . ( NASDAQ : AAPL ) - Apple Stifling Rivals In Heart - Rate Analysis On WatchOS Devices , Alleges Lawsuit', 'Lawsuit Claims Apple Monopolizes Heart - Rate Technology for Apple Watch']",0.5346742868423462,0.08915803581476212,0.3761677145957947
2021-05-28,121.8074722,124.6100006,125.8000031,124.5500031,125.5699997,71311100,-0.00534801,122.9906983,124.1164062,AAPL,Apple Inc,"Apple Inc . stock falls Friday , underperforms market | Dual - Screen Laptops Market Robust Demand Aided Revenue Growth | Intel Corporation , Mobile Pixels , Apple Inc ., Xiaomi | Dual - Screen Laptops Market Robust Demand Aided Revenue Growth | Intel Corporation , Mobile Pixels , Apple Inc ., Xiaomi | Dual - Screen Laptops Market Robust Demand Aided Revenue Growth | Intel Corporation , Mobile Pixels , Apple Inc ., Xiaomi | Apple Inc . ( NASDAQ : AAPL ) - Why This Apple Stock Analyst Is Bearish :  Expect Limited Innovation In The Next iPhone  ","['Apple Inc . stock falls Friday , underperforms market', 'Dual - Screen Laptops Market Robust Demand Aided Revenue Growth', 'Intel Corporation , Mobile Pixels , Apple Inc ., Xiaomi', 'Dual - Screen Laptops Market Robust Demand Aided Revenue Growth', 'Intel Corporation , Mobile Pixels , Apple Inc ., Xiaomi', 'Dual - Screen Laptops Market Robust Demand Aided Revenue Growth', 'Intel Corporation , Mobile Pixels , Apple Inc ., Xiaomi', 'Apple Inc . ( NASDAQ : AAPL ) - Why This Apple Stock Analyst Is Bearish :  Expect Limited Innovation In The Next iPhone']",0.49947911500930786,0.3751526474952698,0.12536823749542236
2021-06-01,123.3585205,126.5999985,131.0500031,126.3799973,127.7200012,155088000,-0.0336614,125.7043834,125.9765157,AAPL,Apple Inc,"Apple Inc . stock rises Tuesday , outperforms market | Apple Inc . stock falls Wednesday , underperforms market | Apple CEO Tim Cook pay jumped in 2020 as remote work lifted profit | Apple CEO Tim Cook Pay Jumped in 2020 as Remote Work Lifted Profit | Apple CEO Tim Cook Pay Jumped in 2020 as Remote Work Lifted Profit","['Apple Inc . stock rises Tuesday , outperforms market', 'Apple Inc . stock falls Wednesday , underperforms market', 'Apple CEO Tim Cook pay jumped in 2020 as remote work lifted profit', 'Apple CEO Tim Cook Pay Jumped in 2020 as Remote Work Lifted Profit', 'Apple CEO Tim Cook Pay Jumped in 2020 as Remote Work Lifted Profit']",0.20018863677978516,0.7995809316635132,0.0002304575900780037
