Company,RMSE,MAE,R²,Direction_Acc(%)
MSFT_stock_gdelt_final,1.2405203902488047,1.2195158004760742,-13.75040054321289,52.879581151832454
JPM_stock_gdelt_final,3.6429216074649156,3.519373655319214,-12.656742095947266,45.54973821989529
AAPL_stock_gdelt_final,1.3667104270178356,1.1937828063964844,-0.3472663164138794,52.879581151832454
NVDA_stock_gdelt_final,2.6554330803769752,2.5113584995269775,-3.5381174087524414,45.0261780104712
V_stock_gdelt_final,1.361135241993074,1.2465839385986328,-1.7723767757415771,49.21465968586388
XOM_stock_gdelt_final,0.41395446879530523,0.39471569657325745,-4.334494590759277,55.497382198952884
PFE_stock_gdelt_final,1.1117249971858962,1.1037591695785522,-35.3331184387207,50.78534031413613
GOOG_stock_gdelt_final,1.2212939976211659,1.1594486236572266,-2.8790957927703857,44.50261780104712
AMZN_stock_gdelt_final,0.6726028359147767,0.608060896396637,-0.5305584669113159,50.78534031413613
TSLA_stock_gdelt_final,0.7075965686713821,0.5878961682319641,0.7328958511352539,52.35602094240838
