Date,Adj Close,Close,High,Low,Open,Volume,Daily_Return,EMA_7,EMA_21,Ticker,Company,negative,neutral,positive
2021-01-04,-1.735073463171033,-1.7387792900685433,-1.721154426724184,-1.7309802196149056,-1.6756799597832603,1.2669716578509571,,-1.7431670025247488,-1.746332842616514,GOOG,Alphabet Inc,,,
2021-01-05,-1.7106328532266846,-1.714259437066893,-1.7461204746982324,-1.711232842025914,-1.738494367598123,-0.1819063506529105,0.3267939138360836,-1.7369832171888482,-1.7440436021595216,GOOG,Alphabet Inc,,,
2021-01-06,-1.7214848832270553,-1.7251462647826163,-1.7454856551255726,-1.7481732469226725,-1.7816768797352465,2.607844485705052,-0.2183442261867748,-1.7350910798749677,-1.7429789346240967,GOOG,Alphabet Inc,,,
2021-01-07,-1.6213297020207749,-1.6246682452711074,-1.6677796892655476,-1.6742536046019605,-1.709422961631044,1.9623028829206823,1.4926244541242972,-1.708331441515518,-1.732629976042397,GOOG,Alphabet Inc,,,
2021-01-08,-1.5828566112163718,-1.5860706995570453,-1.6265416572106075,-1.6033744602311752,-1.6169191775995613,1.5517299976137446,0.5243643520360002,-1.6785275311815278,-1.7196182329418557,GOOG,Alphabet Inc,,,
2021-01-11,-1.6609023285832791,-1.6643684599783843,-1.6564025368225743,-1.6286585854762785,-1.6206063804516837,-0.0585812862230281,-1.206990897216026,-1.6759211580988276,-1.715099561947796,GOOG,Alphabet Inc,,,
2021-01-12,-1.699780230963584,-1.703372314283203,-1.6877062148715245,-1.697060748188724,-1.6826679131674869,0.2234960738782403,-0.6403246514037944,-1.683802982331355,-1.7146331950152056,GOOG,Alphabet Inc,,,
2021-01-13,-1.6846493988708882,-1.688192247645543,-1.7127203952588486,-1.6723887540020783,-1.712279822188859,-0.2799536068456121,0.1802145465398738,-1.6858860574382764,-1.7127919890478678,GOOG,Alphabet Inc,,,
2021-01-14,-1.7120584296176082,-1.7156902216395715,-1.6935340522521545,-1.681344542640393,-1.6832470025433672,-0.1164138474929419,-0.469558068848832,-1.6943831973421282,-1.7136854443354317,GOOG,Alphabet Inc,,,
2021-01-15,-1.7197495534283822,-1.7234059539124047,-1.7300982508837912,-1.7043654133424824,-1.7130326972879184,0.1951542888850375,-0.169817197513948,-1.7027020044678531,-1.715218068902271,GOOG,Alphabet Inc,,,
2021-01-19,-1.614371799469645,-1.6176875273044289,-1.6276281583932173,-1.6656864376671023,-1.685891491056417,0.9465945882994146,1.5723036288228738,-1.6822791970716728,-1.7067411103900385,GOOG,Alphabet Inc,,,
2021-01-20,-1.4292509031600424,-1.4319693882406306,-1.445990224734521,-1.5023642390720229,-1.532986564345671,2.39374910987802,2.714061303360776,-1.6201241489946787,-1.6816953544706692,GOOG,Alphabet Inc,,,
2021-01-21,-1.4208662396925291,-1.4235575906333062,-1.3860759358574823,-1.3827330800440436,-1.4045391799276443,1.577199304398177,0.0673190529216554,-1.5713864363802748,-1.6581411322694946,GOOG,Alphabet Inc,,,
2021-01-22,-1.4019760199216498,-1.4046068504435214,-1.432064695800838,-1.393126561483094,-1.4090178442004138,0.0609138072618269,0.2156632423701238,-1.5300536859291765,-1.6349588422702737,GOOG,Alphabet Inc,,,
2021-01-25,-1.405156766912698,-1.4077974203722423,-1.3962315815684123,-1.4207708743734462,-1.3607775784146408,1.3156122888528052,-0.0963333694449669,-1.4998588925563134,-1.6141819592429638,GOOG,Alphabet Inc,,,
2021-01-26,-1.3707694005506663,-1.3732992539257032,-1.4050406936689122,-1.3882988779876753,-1.4222214354329763,0.1394282116348887,0.4328074428950944,-1.4685123562392366,-1.592072976001279,GOOG,Alphabet Inc,,,
2021-01-27,-1.5374051847966566,-1.540472666322506,-1.4723603304226711,-1.5344769604733624,-1.43440204731537,2.887815361786555,-2.376938309227374,-1.487163427946145,-1.587581914191947,GOOG,Alphabet Inc,,,
2021-01-28,-1.475106845024294,-1.4779734349979592,-1.455376632304008,-1.4691244850875094,-1.5088954448319936,1.0203215289911922,0.8588437959606928,-1.48538945898385,-1.577663929392489,GOOG,Alphabet Inc,,,
2021-01-29,-1.5278632399548746,-1.5309003664004066,-1.5352946347424592,-1.532145526684128,-1.5045905662824035,0.7129663606527428,-0.8091631653244822,-1.497407021533225,-1.5735890304598317,GOOG,Alphabet Inc,,,
2021-02-01,-1.401397971497245,-1.4040267468201175,-1.4100570303013202,-1.453019657835722,-1.490305968941254,0.6930505117386003,1.791579595876969,-1.4744228711865357,-1.5580391520112122,GOOG,Alphabet Inc,,,
2021-02-02,-1.3509736110657355,-1.3534394093291495,-1.3458762725718767,-1.329542003594887,-1.3571292564361788,1.978963256531552,0.6579740528394504,-1.4444267535600872,-1.5391798790259186,GOOG,Alphabet Inc,,,
2021-02-03,-1.076184137445861,-1.077763013918439,-1.03670622711233,-1.1277157239125586,-1.0667232982339383,5.511153960583076,3.7626331166265454,-1.3524044316697494,-1.496296808756032,GOOG,Alphabet Inc,,,
2021-02-04,-1.0910259453263549,-1.092653028744397,-1.1096999123164968,-1.0806830119861408,-1.0746570583251605,1.1719883784142775,-0.2433922386815985,-1.2871428565157927,-1.458702363868707,GOOG,Alphabet Inc,,,
2021-02-05,-1.0223480475586328,-1.0237531830765754,-1.063614594056264,-1.0481624008334998,-1.0725144865448166,0.5645549865329308,0.8393757405540825,-1.2208202930516985,-1.4180928503533812,GOOG,Alphabet Inc,,,
2021-02-08,-1.032159471942529,-1.0335960603245449,-1.0231516699492638,-1.0235485072218942,-1.0031946016416038,0.0030812459919131,-0.1766886756645556,-1.1735607856784354,-1.3820941021649746,GOOG,Alphabet Inc,,,
2021-02-09,-1.0502779733763192,-1.0517734273724475,-1.0585753651785172,-1.0108431564729596,-1.056028996112833,-0.6709936403329103,-0.2831864769487055,-1.1427003665789677,-1.351065044836929,GOOG,Alphabet Inc,,,
2021-02-10,-1.0273979757253169,-1.0288197951403957,-1.0523433916205622,-1.0408577356797413,-1.025779970957163,-0.2006732082835448,0.2422372950732724,-1.1137661216883166,-1.3207137458807314,GOOG,Alphabet Inc,,,
2021-02-11,-1.0264148195936451,-1.0278333829262345,-1.0645379146182548,-1.013213422789389,-1.0155489992471762,-0.5641374509666457,-0.039015302235276,-1.091816687007824,-1.2930295681699897,GOOG,Alphabet Inc,,,
2021-02-12,-1.0105709031741228,-1.0119380715362192,-1.0514778886525675,-1.0019262003618403,-1.0334244809125164,-0.7364861434928789,0.150683997836942,-1.071345898520908,-1.266378106502443,GOOG,Alphabet Inc,,,
2021-02-16,-0.9762797795057028,-0.9775363923149364,-0.9671167361861488,-0.9606827957340548,-1.006186661601011,-0.2039286835868181,0.3844584594836363,-1.0473167164945163,-1.2389376118383169,GOOG,Alphabet Inc,,,
2021-02-17,-0.9639239944340589,-0.965141177151176,-1.003700305179226,-0.9712511717612368,-1.0146031925401813,-0.3243812698079301,0.1042235116469334,-1.026168659117549,-1.2128343975667288,GOOG,Alphabet Inc,,,
2021-02-18,-0.9853393263539634,-0.9866250758388876,-1.0054794435284924,-0.9619455939466603,-0.9945465527729102,-0.2272915063514853,-0.3207779802199827,-1.0157259675822397,-1.1911100792374674,GOOG,Alphabet Inc,,,
2021-02-19,-1.0162954185901885,-1.017681274448699,-1.00972067221296,-0.9741846579377474,-0.9774048003218718,0.4157606153186161,-0.4427556990760725,-1.01572623419954,-1.1742602149035322,GOOG,Alphabet Inc,,,
2021-02-22,-1.0861880472169825,-1.0877991606848878,-1.0849454708666686,-1.0427033182317784,-1.0783056748556947,0.2436034213396342,-0.9415411456183472,-1.033410158626595,-1.1654886801531157,GOOG,Alphabet Inc,,,
