Company,Target,Predicted
MSFT_stock_gdelt_final_train,264.8399980762816,282.1048347522629
AAPL_stock_gdelt_final_train,173.6600030744206,192.69883756209563
AAPL_stock_gdelt_final_train,149.63999948915895,153.77129095973223
MSFT_stock_gdelt_final_train,259.53000046028234,273.6421218754777
AAPL_stock_gdelt_final_train,149.4799948136526,158.85895835983138
AAPL_stock_gdelt_final_train,165.0200056930153,179.98398868639777
AAPL_stock_gdelt_final_train,189.59000037218607,203.657520968679
MSFT_stock_gdelt_final_train,416.070004354755,448.88897665652263
MSFT_stock_gdelt_final_train,363.2000127162174,389.9907061603445
AAPL_stock_gdelt_final_train,143.24000591665765,133.4576782959279
AAPL_stock_gdelt_final_train,174.55000304088102,179.91698348668527
AAPL_stock_gdelt_final_train,127.12999698154906,142.2165695166327
AAPL_stock_gdelt_final_train,133.19000187659418,171.13157291742675
AAPL_stock_gdelt_final_train,145.47000146159442,156.9117515427548
AAPL_stock_gdelt_final_train,139.96000572975407,132.80816364761074
MSFT_stock_gdelt_final_train,420.68999514457397,456.0933524995817
MSFT_stock_gdelt_final_train,406.32000284283646,429.65750449125704
AAPL_stock_gdelt_final_train,125.34999811152791,132.16316419739601
MSFT_stock_gdelt_final_train,253.74000735856043,267.61070817952447
MSFT_stock_gdelt_final_train,259.42999379192594,280.11045366126206
AAPL_stock_gdelt_final_train,150.6999975144966,163.00068750586743
AAPL_stock_gdelt_final_train,171.66000415297665,179.19316576902955
AAPL_stock_gdelt_final_train,182.39999381191967,192.61508956565294
AAPL_stock_gdelt_final_train,148.78999431417665,161.15511091048683
AAPL_stock_gdelt_final_train,174.83000059401974,172.30140887626516
MSFT_stock_gdelt_final_train,422.9899925357386,458.2405341318336
MSFT_stock_gdelt_final_train,430.3200053938927,460.1288633383629
AAPL_stock_gdelt_final_train,160.25000076129933,170.4050766924221
AAPL_stock_gdelt_final_train,216.24000906535088,228.84518369410816
AAPL_stock_gdelt_final_train,176.27999991835657,170.2752583695781
AAPL_stock_gdelt_final_train,160.77000532769756,168.4665941564249
AAPL_stock_gdelt_final_train,173.1900015634677,152.62841864153953
MSFT_stock_gdelt_final_train,338.1499915070272,365.60857290603604
MSFT_stock_gdelt_final_train,338.04998864308624,370.02056869557424
MSFT_stock_gdelt_final_train,277.4200167235504,299.9159055909841
MSFT_stock_gdelt_final_train,302.64999439131685,332.36559089598455
AAPL_stock_gdelt_final_train,161.83999673640602,156.36389900312582
MSFT_stock_gdelt_final_train,417.8800082564522,454.4228184674758
AAPL_stock_gdelt_final_train,157.64999493570397,176.719066795229
AAPL_stock_gdelt_final_train,148.36000034949882,160.37197488405008
AAPL_stock_gdelt_final_train,196.9400031047609,205.36904464864494
MSFT_stock_gdelt_final_train,298.7900116715537,316.42585113566025
AAPL_stock_gdelt_final_train,184.91999729976186,200.08906042089384
AAPL_stock_gdelt_final_train,155.3500074427807,163.95858975942232
AAPL_stock_gdelt_final_train,188.03999493695855,206.1867546778775
AAPL_stock_gdelt_final_train,169.24000677602515,145.4459097760506
MSFT_stock_gdelt_final_train,296.30999695116594,313.0180536248409
MSFT_stock_gdelt_final_train,285.5899988552265,313.86716871305185
MSFT_stock_gdelt_final_train,313.880004810706,348.0617415452835
AAPL_stock_gdelt_final_train,149.3200071445421,159.48668994084352
AAPL_stock_gdelt_final_train,153.11999701724756,157.64935294426002
AAPL_stock_gdelt_final_train,172.14000117309985,171.09638668437975
MSFT_stock_gdelt_final_train,312.7900093552544,334.8723354391696
MSFT_stock_gdelt_final_train,443.5199877748965,464.7418235684709
AAPL_stock_gdelt_final_train,171.83000008605435,181.4468788588011
AAPL_stock_gdelt_final_train,213.07000837270883,213.2875371822323
MSFT_stock_gdelt_final_train,336.05999784748934,360.52069988921727
AAPL_stock_gdelt_final_train,168.83999508725927,178.59886025909225
AAPL_stock_gdelt_final_train,149.24000480678893,156.09691559442365
MSFT_stock_gdelt_final_train,280.5100085871746,296.66223255798474
MSFT_stock_gdelt_final_train,321.79999119577593,340.08823464397216
AAPL_stock_gdelt_final_train,166.64999220800115,180.33377623657205
MSFT_stock_gdelt_final_train,374.66000765706127,404.9662092216059
MSFT_stock_gdelt_final_train,449.519992217076,465.18319662876826
AAPL_stock_gdelt_final_train,186.0099924816078,198.439380499495
MSFT_stock_gdelt_final_train,240.61000149273195,259.7417237876826
MSFT_stock_gdelt_final_train,305.9399995916538,326.9692863115852
AAPL_stock_gdelt_final_train,178.72000106844555,192.71053796245153
MSFT_stock_gdelt_final_train,421.89999708028705,460.3665936496291
AAPL_stock_gdelt_final_train,251.0399928494347,257.13866497418064
AAPL_stock_gdelt_final_train,226.4900019434014,243.87501970388323
AAPL_stock_gdelt_final_train,189.9799995453858,201.17434908268385
MSFT_stock_gdelt_final_train,241.07000667758803,253.58784976351672
AAPL_stock_gdelt_final_train,173.75000092134408,166.8001544319
